ID,Layer,Weight
9007417,Citing_L2,0
8917240,Citing_L2,3
10089454,Citing_L2,1
8565477,Citing_L2,4
8296151,Citing_L2,31
9400559,Citing_L2,19
9242171,Citing_L2,15
9619561,Citing_L2,4
8707216,Citing_L2,23
8411948,Citing_L2,30
9821224,Citing_L2,25
8577084,Citing_L2,1
8587773,Citing_L2,20
8629976,Citing_L2,16
8422769,Citing_L2,19
9280203,Citing_L2,0
9787943,Citing_L2,0
8448056,Citing_L2,19
8926431,Citing_L2,1
9244533,Awakener,121
8866889,Citing_L2,16
10048763,Citing_L2,0
8994718,Citing_L2,30
8976986,Citing_L2,11
10296587,Citing_L2,6
8681255,Citing_L2,44
9465980,Citing_L2,3
8320619,Citing_L2,9
8659658,Awakener,122
9159151,Citing_L2,19
8723118,Citing_L2,19
8942428,Citing_L2,13
9524024,Citing_L2,0
8773355,Citing_L2,3
9215478,Citing_L2,1
9056254,Citing_L2,12
8676581,Citing_L2,15
9377857,Citing_L2,6
8565485,Citing_L2,29
6906639,Awakener,100
8509479,Citing_L2,1
8381108,Citing_L2,29
8897491,Citing_L2,33
9519970,Citing_L2,0
8787658,Citing_L2,3
9454244,Citing_L2,2
10551930,Citing_L2,6
8452051,Citing_L2,12
8824780,Citing_L2,0
9491226,Citing_L2,0
8265341,Citing_L2,11
8564534,Citing_L2,22
9656162,Citing_L2,9
8548270,Citing_L2,7
9052746,Citing_L2,6
7870140,Citing_L2,2
9836590,Citing_L2,0
8929668,Citing_L2,0
8571263,Citing_L2,8
9597587,Citing_L2,4
8897493,Citing_L2,1
10113868,Citing_L2,0
8457353,Citing_L2,47
8631355,Awakener,96
9098873,Citing_L2,28
9251590,Citing_L2,29
9848106,Citing_L2,1
8467574,Citing_L2,2
8638985,Citing_L2,17
9268404,Citing_L2,5
9697430,Citing_L2,16
9971491,Citing_L2,11
9478057,Citing_L2,0
8920241,Citing_L2,4
7773811,Citing_L2,2
8963829,Citing_L2,9
8982151,Citing_L2,7
10085072,Citing_L2,9
9674563,Citing_L2,3
8325984,Citing_L2,24
8351652,Citing_L2,6
8587583,Awakener,73
8565476,Citing_L2,1
10585957,Awakener,79
5600733,Citing_L2,15
11153472,Citing_L2,12
8885890,Citing_L2,15
8860663,Citing_L2,1
10331228,Citing_L2,1
8379919,Citing_L2,6
9154837,Citing_L2,4
8803952,Citing_L2,16
8613666,Citing_L2,10
6019496,Citing_L2,5
9551914,Citing_L2,16
8803888,Citing_L2,6
8597142,Citing_L2,51
10488950,Citing_L2,5
9075434,Citing_L2,2
8488888,Citing_L2,21
8320621,Awakener,141
8682028,Citing_L2,6
9418303,Citing_L2,6
9484065,Citing_L2,8
8892495,Citing_L2,55
9557836,Citing_L2,0
8330134,Citing_L2,2
8363212,Citing_L2,13
8553934,Citing_L2,1
9052382,Citing_L2,3
8644609,Citing_L2,1
9498718,Citing_L2,2
9940553,Citing_L2,14
8504546,Citing_L2,2
9342139,Citing_L2,6
9646340,Citing_L2,9
9959459,Citing_L2,0
8745541,Awakener,121
9135516,Citing_L2,8
9067136,Citing_L2,3
9823339,Citing_L2,62
8437506,Citing_L2,26
10013507,Citing_L2,6
8670029,Awakener,123
9557574,Citing_L2,12
9440535,Diffusion_L3,1
10334331,Diffusion_L3,1
11800056,Diffusion_L3,1
11762623,Diffusion_L3,1
11042355,Diffusion_L3,1
11159880,Diffusion_L3,1
6675096,Diffusion_L3,1
12333081,Diffusion_L3,1
11160111,Diffusion_L3,1
10959029,Diffusion_L3,1
12209877,Diffusion_L3,1
11523212,Diffusion_L3,1
12352591,Diffusion_L3,1
11977218,Diffusion_L3,1
12034686,Diffusion_L3,1
10743101,Diffusion_L3,1
8638725,Diffusion_L3,1
11179066,Diffusion_L3,1
9501058,Diffusion_L3,1
11233973,Diffusion_L3,1
10602053,Diffusion_L3,1
8645053,Diffusion_L3,1
11722764,Diffusion_L3,1
7771061,Diffusion_L3,1
10942430,Diffusion_L3,1
11179218,Diffusion_L3,1
8636393,Diffusion_L3,1
11893308,Diffusion_L3,1
12314472,Diffusion_L3,1
8264377,Diffusion_L3,1
11820424,Diffusion_L3,1
9471147,Diffusion_L3,1
12236952,Diffusion_L3,1
11710406,Diffusion_L3,1
9948904,Diffusion_L3,1
11460621,Diffusion_L3,1
D772978,Diffusion_L3,1
12247846,Diffusion_L3,1
10880650,Diffusion_L3,1
11604314,Diffusion_L3,1
D854473,Diffusion_L3,1
11769505,Diffusion_L3,1
