Citing_Patent,Year,Assignee,CPC_Groups
8448056,2013,Microsoft Corporation,G06F18/217; G06T2207/10024; G06T2207/10028; G06T2207/30196; G06T7/251; G06T7/70; G06V10/28; G06V10/776; G06V40/103
8588517,2013,Microsoft Corporation,G06T2207/10028; G06T7/215; G06T7/254; G06V40/20
8564534,2013,Microsoft Corporation,A63F13/213; A63F13/215; A63F13/428; A63F13/52; A63F13/833; A63F2300/1075; A63F2300/5553; A63F2300/6045; A63F2300/6607; G06F3/017; G06T2207/10028; G06T2207/30196; G06T7/194; G06T7/251; G06T7/75; G06V10/34; G06V10/426; G06V20/40; G06V40/10; G06V40/23
8565477,2013,Microsoft Corporation,A63F13/213; A63F13/428; A63F13/833; A63F2300/1012; A63F2300/1093; A63F2300/5553; A63F2300/6045; A63F2300/6607; A63F2300/6615; A63F2300/8029; G06T2207/10016; G06T2207/10028; G06T2207/30196; G06T7/251; G06V20/64; G06V40/23
8577084,2013,Microsoft Corporation,A63F2300/1093; A63F2300/6607; G06V40/103
8428340,2013,Microsoft Corporation,G06T2207/10028; G06T7/75
8437506,2013,Microsoft Corporation,A63F13/213; A63F13/428; A63F13/67; A63F13/812; A63F2300/1093; A63F2300/6027; A63F2300/6045; A63F2300/6607; A63F2300/6615; G06F3/011; G06F3/0304; G06T2207/10021; G06T2207/10028; G06T2207/20076; G06T2207/30196; G06T7/251; G06V40/103
8571263,2013,Microsoft Corporation,G06F3/017; G06N5/025; G06V40/10
8553939,2013,Microsoft Corporation,A63F13/428; A63F2300/1006; A63F2300/1093; G06F3/011; G06F3/033; G06T17/10; G06T19/00; G06V40/103; G06V40/20
8487871,2013,Microsoft Corporation,A63F13/211; A63F13/213; A63F13/42; A63F13/426; A63F13/428; A63F13/533; A63F2300/1087; A63F2300/308; A63F2300/6045; A63F2300/6607; A63F2300/6615; G06F3/011; G06F3/017
8488888,2013,Microsoft Corporation,G06F3/011; G06F3/017; G06V40/103; G06V40/107; G06V40/23
8385596,2013,Microsoft Corporation,A63F13/213; A63F13/428; A63F13/5255; A63F13/837; A63F2300/1093; A63F2300/5553; A63F2300/6045; A63F2300/6607; A63F2300/8076; G06F3/017
8542252,2013,Microsoft Corporation,G06T17/00; G06T2200/08; G06V20/10; G06V20/64; G06V40/20
8605763,2013,Microsoft Corporation,H01S5/02415; H01S5/0617; H01S5/06804; H01S5/0683; H01S5/06837; H05B45/14; H05B45/18
8548270,2013,Microsoft Corporation,G01S17/18; G01S17/32; G01S17/50; G01S17/894; G06T7/593
8577085,2013,Microsoft Corporation,A63F2300/1006; A63F2300/1093; G06T2207/10028; G06T2207/30196; G06T7/251
8401242,2013,Microsoft Corporation,A63F13/00; A63F13/213; A63F13/42; A63F13/65; A63F2300/1087; A63F2300/69; G06T2207/10028; G06T2207/10048; G06T2207/30244; G06T7/251; G06T7/30; G06V20/10; H04N25/00; H04N25/705
8379101,2013,Microsoft Corporation,A63F13/213; A63F13/428; A63F13/533; A63F13/833; A63F2300/1087; A63F2300/6045; A63F2300/6607; G06T2207/10028; G06T2207/30196; G06T7/11; G06V10/26; G06V20/80; G06V40/23
8558873,2013,Microsoft Corporation,G01B11/2513; G01S17/46; G01S17/89; G06F3/017; G06F3/0325
8408706,2013,Microsoft Corporation,A61B3/113; G06F3/013; G06V40/19; H04N13/239; H04N13/383
8587583,2013,Microsoft Corporation,G06T17/00; G06T2200/08
8514269,2013,Microsoft Corporation,G06T2207/10028; G06T5/70
8385557,2013,Microsoft Corporation,H04M9/082; H04R3/005; H04R3/02
8381108,2013,Microsoft Corporation,A63F13/10; A63F13/12; A63F13/20; A63F13/21; A63F13/213; A63F13/215; A63F13/30; A63F13/424; A63F13/45; A63F13/47; A63F2300/1087; A63F2300/6045; A63F2300/632; G06F16/4393; G06F3/017; G06F3/167; G10L15/26
8451278,2013,Microsoft Corporation,A63F13/213; A63F13/42; A63F13/428; A63F13/57; A63F13/63; A63F13/65; A63F13/833; A63F2300/1093; A63F2300/6045; A63F2300/64; A63F2300/6615; A63F2300/69; G06F3/011; G06F3/017; G06T13/40
8592739,2013,Microsoft Corporation,G01B11/14; G01J1/0228; G01J1/32
8351652,2013,Microsoft Corporation,G06T17/05; G06V40/23
8509479,2013,Microsoft Corporation,G06V40/103
8498481,2013,Microsoft Corporation,G06T2207/20101; G06T2207/20168; G06T7/11; G06T7/194
8503494,2013,Microsoft Corporation,G05D23/192
8422769,2013,Microsoft Corporation,G06T7/11; G06T7/12; G06T7/143; G06T7/194; G06V10/235
8456419,2013,Microsoft Corporation,G06F2203/0381; G06F3/0346; G06F3/038; G08C17/00; G08C2201/31; G08C2201/32; G08C2201/41; G08C2201/50
8363212,2013,Microsoft Corporation,G01C3/08; G01S17/36; G01S17/894; G01S7/491; G01S7/4914
8542910,2013,Microsoft Corporation,A63F13/213; A63F13/215; A63F13/428; A63F13/52; A63F13/833; A63F2300/1075; A63F2300/5553; A63F2300/6045; A63F2300/6607; G06F3/017; G06T2207/10028; G06T2207/30196; G06T7/194; G06T7/251; G06T7/75; G06V10/34; G06V10/426; G06V20/40; G06V40/10; G06V40/23
8452051,2013,Microsoft Corporation,G06F3/011; G06F3/017
8374423,2013,Microsoft Corporation,G06T2207/10028; G06T7/215; G06T7/254; G06V40/20
