Citing_Patent,Year,Assignee,CPC_Groups
9191570,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06T7/73; G06V10/20; G06V10/40; G06V20/64; G06V40/103; H04N23/611
8929668,2015,Microsoft Corporation,G06T2207/10016; G06T2207/10024; G06T2207/10028; G06T2207/20072; G06T7/12; G06T7/162; G06T7/194
9100685,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",H04N21/42201; H04N21/42203; H04N21/4223; H04N21/44213; H04N21/44218; H04N21/4667
8983233,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",G01S17/18; G01S17/32; G01S17/50; G01S17/894; G06T7/593
8963829,2015,Microsoft Corporation,G06F3/011; G06F3/012; G06F3/017; G06T2200/04; G06T2207/10028; G06T2207/20021; G06T2207/30196; G06T2210/12; G06T2219/2004; G06T7/246; G06V20/64; G06V40/28
8970487,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/213; A63F13/215; A63F13/428; A63F13/52; A63F13/833; A63F2300/1075; A63F2300/5553; A63F2300/6045; A63F2300/6607; G06F3/017; G06T2207/10028; G06T2207/30196; G06T7/194; G06T7/251; G06T7/75; G06V10/34; G06V10/426; G06V20/40; G06V40/10; G06V40/23
9098873,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F3/017; G06Q30/02; G06Q30/0641; G06Q30/0643
9195305,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F3/011; G06F3/017
8929612,2015,Microsoft Corporation,G06V10/46; G06V40/10; G06V40/107
8994718,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F2203/04806; G06F3/005; G06F3/011; G06F3/017; G06F3/0304; G06F3/0346; G06F3/0485; G06F3/0486; G06T13/40
9171264,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F18/24317; G06N20/00; G06N20/10; G06N5/046; G06V10/764; G06V10/955
9019201,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F3/017; G06V40/23
9210401,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F3/017; G06V40/28; G09B19/003; G16H20/30; H04N13/156; H04N9/3147; H04N9/3185
9182814,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F3/011; G06V40/103
8971612,2015,Microsoft Corporation,G06F18/24323; G06F18/28; G06T2207/20081; G06T7/55; G06V10/764; G06V10/772
9067136,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/213; A63F13/22; A63F13/42; A63F13/428; A63F2300/1093; A63F2300/6045; A63F2300/6607; G06F3/011; G06F3/017; G06F3/0425; G06F3/04815
8942917,2015,Microsoft Corporation,G06F16/7837; G06V20/20
9031103,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",H01S5/02415; H01S5/0617; H01S5/06804; H01S5/0683; H01S5/06837; H05B45/14; H05B45/18
8959541,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06Q90/00; H04N21/252; H04N21/2668; H04N21/42201; H04N21/44213; H04N21/44218; H04N21/458; H04N21/4667; H04N21/6582; H04N21/812
9117281,2015,Microsoft Corporation,G06T2207/10024; G06T2207/10028; G06T7/00; G06T7/11; G06T7/50; H04N13/20; H04N13/239
9013489,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/213; A63F13/40; A63F13/63; A63F13/655; A63F13/79; A63F2300/1093; A63F2300/5553; A63F2300/6607; G06T19/20; G06T2200/08; G06V40/171
8988508,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F2300/1093; G01S17/87; G01S17/894; G06F3/011; G06F3/017; G06V10/147; H04N13/239; H04N13/243; H04N13/254; H04N23/56; H04N23/698
8953844,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/213; A63F13/428; A63F13/67; A63F13/812; A63F2300/1093; A63F2300/6027; A63F2300/6045; A63F2300/6607; A63F2300/6615; G06F3/011; G06F3/0304; G06T2207/10021; G06T2207/10028; G06T2207/20076; G06T2207/30196; G06T7/251; G06V40/103
9039528,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/213; A63F13/428; A63F2300/1093; A63F2300/6607; G06T2207/10021; G06T2207/10028; G06T2207/30196; G06T7/251
9147253,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",G01C3/08; G01S17/10; G01S17/36; G01S17/42; G01S17/48; G01S17/66; G01S17/88; G01S17/89; G01S7/4817; G06T2207/30196; G06T7/521
9008355,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F2300/1087; A63F2300/8029; G01S3/786; G06T2207/10028; G06T7/73; H04N13/271
9063001,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",G01J1/02; G01J1/0228; G01J1/32
9141193,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F3/017; G06F3/038; G06F3/0416; G06F3/04842; G06F3/16; G06F3/167; G06V40/28
9052746,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F3/017; G06T2207/10028; G06T2207/30196; G06T7/66; G06V40/20
9075434,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F3/011; G06F3/017; G06F3/0304
8933884,2015,Microsoft Corporation,A63F13/213; A63F13/424; A63F13/428; A63F13/533; A63F13/803; A63F13/833; A63F2300/1093; A63F2300/5553; A63F2300/6045; A63F2300/6072; A63F2300/6607; A63F2300/8017; A63F2300/8023; G06F3/017; G06F3/038
9007417,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F3/011; G06F3/017; G06T15/005; G06T2207/10028; G06V20/64; G06V40/10; G06V40/103; G06V40/20
9215478,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/213; A63F13/424; A63F13/428; A63F13/833; A63F2300/1087; A63F2300/5553; A63F2300/6607; G06F3/011; G06F3/017; H04N1/032; H04N19/40; H04N21/00; H04N21/232; H04N21/234; H04N21/23424; H04N21/236
8968091,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/213; A63F13/215; A63F13/428; A63F13/814; A63F13/833; A63F2300/1093; A63F2300/5553; A63F2300/6045; A63F2300/6607
8953842,2015,Conti Temic microelectronic GmbH,G06V10/421; G06V20/582
9135516,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/211; A63F13/213; A63F13/428; A63F2300/105; A63F2300/1087; A63F2300/1093; A63F2300/6045; G06T2207/10016; G06T2207/10021; G06T2207/10024; G06T2207/10028; G06T2207/30196; G06T2207/30221; G06T2207/30241; G06T7/11; G06T7/20; G06T7/246; G06T7/60; G06T7/73; G06T7/75; G06V10/44; G06V40/103; G06V40/23
9208571,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/213; A63F13/53; A63F2300/1093; A63F2300/6018; G06T15/08; G06T19/20; G06T2200/08; G06T2207/10004; G06T2207/10028; G06T2219/2012; G06T7/12; G06T7/50; G06T7/70; H04N13/257; H04N13/268; H04N13/271; H04N5/2226
9098493,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",E05F15/00; E05Y2400/852; E05Y2400/86; G06F3/017; G06F40/44; G06F40/45; G06V40/113; G06V40/28; G09B21/009
9054764,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",H04B7/0854
9092657,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06T19/00; G06T2207/10028; G06T5/77; G06V20/64
9098110,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F3/012; G06V40/20
8988437,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06T13/00; G06T13/80; G06V40/23
9154837,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06Q30/02; H04N21/44218
8928579,2015,Individual/Unknown,G06F3/011; G06F3/017; G10L15/26
8982151,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F3/1423; G09G2340/0407; G09G2340/08; G09G2340/12
8976986,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F3/165; H03G3/30; H03G3/3005; H04S2400/13; H04S7/303
9159151,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/213; A63F13/56; A63F13/58; A63F13/67; G01S17/36; G01S17/89; G06F3/011; G06F3/017; G06T13/40; H04N21/4223; H04N21/44218; H04N21/4532; H04N21/4667; H04N21/4781
9137463,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",G01S17/894; G01S7/4816; H04N13/271; H04N23/70; H04N25/46
8988432,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/213; A63F13/52; A63F13/655; A63F13/833; A63F2300/1093; A63F2300/5553; A63F2300/6045; A63F2300/6607; G06F3/017; G06V10/30; G06V20/64
9056254,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/213; A63F13/40; A63F13/42; A63F2300/1093; A63F2300/6045
9454244,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F2203/0381; G06F3/0346; G06F3/038; G08C17/00; G08C2201/31; G08C2201/32; G08C2201/41; G08C2201/50
9465980,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/428; A63F2300/1006; A63F2300/1093; G06F3/011; G06F3/033; G06T17/10; G06T19/00; G06V40/103; G06V40/20
9519989,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/213; A63F13/42; G06F3/011; G06F3/017; G06T13/80
9519970,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06T7/73; G06V10/20; G06V10/40; G06V20/64; G06V40/103; H04N23/611
9251590,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/00; A63F13/213; A63F2009/2435; G06T19/006; G06T2207/10024; G06T2207/10028; G06T2207/30244; G06T7/50; G06T7/521; G06T7/593; G06T7/74; G06T7/75; G06T7/80
9468848,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/213; A63F13/22; A63F13/42; A63F13/428; A63F13/67; A63F13/803; A63F13/812; A63F2300/1018; A63F2300/1087; A63F2300/1093; A63F2300/5553; A63F2300/6027; A63F2300/6045; A63F2300/6607; A63F2300/8011; G06F16/436; G06F16/9537; G06F3/017
9342139,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F3/005; G06F3/033; G06F3/038
9313376,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F1/325; H04N1/00161; H04N13/398; H04N23/56; H04N23/65; H04N23/6812; H04N23/6815
9247238,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",G01B11/22; G01B9/08; G06T7/55; H04N13/271; H04N23/11; H04N23/20; H04N23/80; H04N23/90
9311560,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/211; A63F13/213; A63F13/428; A63F2300/105; A63F2300/1087; A63F2300/1093; A63F2300/6045; G06T2207/10016; G06T2207/10021; G06T2207/10024; G06T2207/10028; G06T2207/30196; G06T2207/30221; G06T2207/30241; G06T7/11; G06T7/20; G06T7/246; G06T7/60; G06T7/73; G06T7/75; G06V10/44; G06V40/103; G06V40/23
9529566,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",G05B15/02; G06F3/011; G06F3/017; G06F3/165; G10H1/0008; G10H2220/201; G10H2220/455
9462253,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",G01S17/89; G01S7/481; G01S7/4815; G02B19/0057; G02B27/0961; G02B27/48; G02B3/0056; H04N13/128; H04N13/207; H04N13/229; H04N2013/0081; H04N23/20; H04N23/55; H04N23/56
9274606,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F3/017; G06F3/0484; H04N21/4223; H04N21/4788; H04N7/142; H04N7/147; H04N7/15
9436879,2016,Conti Temic microelectronic GmbH,G06F2218/12; G06V20/582; G08G1/09623
9259643,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/213; A63F13/24; A63F13/42; A63F13/53; A63F13/655; A63F2300/1093; A63F2300/6045; A63F2300/6607
9498718,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/213; A63F13/42; A63F13/428; A63F13/5255; A63F13/833; A63F2300/1093; A63F2300/5553; A63F2300/6045; A63F2300/6676; G06F3/011; G06F3/017
9256282,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F3/011; G06F3/017
9280203,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/00; A63F2300/1012; A63F2300/1093; A63F2300/6045; G06F3/011; G06F3/017; G06F3/033; G06F3/04883; G06V40/113; G06V40/23
9400559,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F3/017; G06F3/038; G06F3/0488; G06F3/04883
9508385,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/63; A63F13/655; A63F13/86; G11B20/10527; G11B2020/10537; G11B27/034; G11B27/036; G11B27/10; G11B27/34; H04N21/47205; H04N21/4781; H04N21/4788; H04N21/8456
9418303,2016,Conti Temic microelectronic GmbH,G06V10/32; G06V20/582
9400548,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/213; A63F13/215; A63F13/22; A63F13/424; A63F13/428; A63F13/71; A63F13/77; A63F13/79; A63F2300/1018; A63F2300/1081; A63F2300/1093; A63F2300/208; A63F2300/401; A63F2300/532; A63F2300/552; A63F2300/5546; A63F2300/5553; A63F2300/6045; G06F3/011; G06F3/017; G06V40/20
9298263,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F3/011; G06F3/017; G06V40/23
9372544,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F3/011; G06F3/017; G06F3/0304; G06F3/04815; G06T2207/10028; G06T2207/30196; G06T7/75; G06V40/28
9264807,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",H04M9/082; H04R3/005; H04R3/02
9524024,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/213; A63F13/428; G06F3/011; G06F3/016; G06F3/017; G06T11/60; G06T3/20; G06T3/40
9443310,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/213; A63F13/49; A63F13/816; A63F13/833; A63F13/87; G01B11/25; G01S17/89; G01S7/4815; G01S7/4818; G01S7/4863; G02B19/0057; G02B27/0922; G02B27/425; G06T7/50; G06T7/521; H04N13/254
9442186,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",G01S17/36; G01S17/87; G01S17/894; G01S7/4865; G01S7/493
9484065,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",G11B27/105; G11B27/28; G11B27/322; H04N21/44218; H04N21/8455; H04N21/8549
9491226,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F3/011; G06F3/017; G06T2207/10028; G06T2207/30196; G06T7/251; G06V40/20; G06V40/23; H04L65/4061; H04L67/06; H04L67/131
9470778,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",G01S17/894; G01S7/497; G06T2207/10028; G06T7/80; H04N13/20; H04N17/002
9478057,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06T13/00; G06T13/80; G06V40/23
9274747,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/10; A63F13/12; A63F13/20; A63F13/21; A63F13/213; A63F13/215; A63F13/30; A63F13/424; A63F13/45; A63F13/47; A63F2300/1087; A63F2300/6045; A63F2300/632; G06F16/4393; G06F3/017; G06F3/167; G10L15/26
9519828,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/213; G06F2203/012; G06F3/011; G06F3/017; G06V40/20; G06V40/23; G06V40/28
9291449,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",G01B11/14; G01J1/0228; G01J1/32
9244533,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/213; A63F13/42; A63F13/812; A63F2300/1087; A63F2300/6045; A63F2300/8011; G06F2203/011; G06F3/017; G09B19/00; G09B21/00; G09B21/009; G09B5/02; G09B5/06; H04L67/10; H04L67/131; H04L67/30; H04L67/75
9278287,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/213; A63F13/35; A63F13/40; A63F13/42; A63F13/428; A63F13/655; A63F13/79; A63F13/87; A63F2300/1087; A63F2300/1093; A63F2300/5553; A63F2300/6045; A63F2300/6607; A63F9/24; G06V40/16
9383823,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63B2024/0025; A63F2300/105; A63F2300/1087; A63F2300/64; G06F3/005; G06F3/011; G06F3/012; G06F3/013; G06F3/014; G06F3/017; G06F3/0346; G06F3/167; G09G2340/12; G10H2220/401
9262673,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F3/017; G06T2207/10028; G06T2207/20076; G06T2207/30196; G06T7/50; G06V40/103; G06V40/20
9489053,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F2203/04806; G06F3/005; G06F3/011; G06F3/017; G06F3/0304; G06F3/0346; G06F3/0485; G06F3/0486; G06T13/40
9349040,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F3/017; G06V40/10; G06V40/107; G06V40/20; G06V40/28
9298287,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F2203/0381; G06F3/017; G06F3/038; G06F3/0487; G06F3/167; G10L15/22
9292083,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F3/011; G06F3/017; G06T13/40
9377857,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F3/011; G06F3/017; G06V40/23
9242171,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/00; A63F13/213; A63F13/42; A63F13/65; A63F2300/1087; A63F2300/69; G06T2207/10028; G06T2207/10048; G06T2207/30244; G06T7/251; G06T7/30; G06V20/10; H04N25/00; H04N25/705
9384329,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",G16H20/30
9522328,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/213; A63F13/215; A63F13/428; A63F13/52; A63F13/833; A63F2300/1075; A63F2300/5553; A63F2300/6045; A63F2300/6607; G06F3/017; G06T2207/10028; G06T2207/30196; G06T7/194; G06T7/251; G06T7/75; G06V10/34; G06V10/426; G06V20/40; G06V40/10; G06V40/23
9268404,2016,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F3/017
9557836,2017,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/213; A63F13/42; A63F13/428; A63F13/833; A63F2300/1093; A63F2300/5553; A63F2300/6045; A63F2300/8082; G06F18/2411; G06F3/017; G06F3/0304; G06F3/038; G06T2207/10028; G06V40/10; G06V40/103; G06V40/107; H04N19/597
9787943,2017,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F3/017; G06F3/0484; H04N21/4223; H04N21/4788; H04N7/142; H04N7/147; H04N7/15
9679390,2017,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06T15/00; G06T19/00; G06T2207/10028; G06T7/11; G06T7/194; G06T7/215; G06T7/254
9596643,2017,"MICROSOFT TECHNOLOGY LICENSING, LLC",B60K2360/1438; B60K2360/146; B60K2360/1464; B60K2360/1472; B60K2360/148; B60K2360/151; B60K2360/166; B60K2360/182; B60K2360/21; B60K2360/566; B60K2360/573; B60K2360/586; B60K2360/5894; B60K2360/5899; B60K2360/592; B60K2360/834; B60K35/10; B60K35/20; B60K35/26; B60K35/28; B60K35/29; B60K35/50; B60K35/80; B60K35/85; G06F1/1632; G06F1/1694; G06F3/0481; H04W4/027; H04W4/90; H04W48/04
9696427,2017,"MICROSOFT TECHNOLOGY LICENSING, LLC",G01B11/2513; G01S17/894; H04N13/254; H04N13/271
9788032,2017,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06Q90/00; H04N21/252; H04N21/2668; H04N21/42201; H04N21/44213; H04N21/44218; H04N21/458; H04N21/4667; H04N21/6582; H04N21/812
9848106,2017,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/00; A63F13/20; A63F13/213; A63F13/219; A63F13/428; A63F13/655; A63F2300/63; A63F2300/695; H04N23/00; H04N23/90
9535563,2017,"Blanding Hovenweep, LLC",G05B15/02; G06F3/048; G06N20/00; G06N5/025; G06Q30/02; G06Q30/0248; G06Q30/0255; G06Q30/0267; G06Q30/0269; G06Q30/0273; H04N2005/91328; H04N2005/91364; H04N21/4131; H04N21/42201; H04N21/44224; H04N21/4532; H04N21/47; H04N5/782; H04N5/913
9842405,2017,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/213; A63F13/42; A63F13/428; A63F13/833; A63F2300/1012; A63F2300/1093; A63F2300/5553; A63F2300/6045; A63F2300/6607; A63F2300/6615; A63F2300/8029; G06T2207/10016; G06T2207/10028; G06T2207/30196; G06T7/251
9724600,2017,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/10; A63F13/40; A63F13/45; A63F2300/1087; A63F2300/6045; A63F2300/6607; A63F2300/69
9597587,2017,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/213; A63F13/215; A63F13/216; A63F13/218; A63F13/22; A63F13/31; A63F2003/00646; A63F2009/2402; A63F2009/2438; A63F2009/2452; A63F2009/246; A63F2009/2461; A63F2009/2486; A63F2009/2492; A63F2250/18; A63F2300/1018; A63F2300/1068; A63F2300/1093; A63F2300/6045; A63F3/00529; A63F3/00643; H04N13/254
9769459,2017,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/213; G06V40/23; H01S5/042; H01S5/0427; H01S5/0651; H01S5/06808; H01S5/06825; H04N13/254
9659377,2017,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F3/011; G06F3/012; G06F3/017; G06T2200/04; G06T2207/10028; G06T2207/20021; G06T2207/30196; G06T2210/12; G06T2219/2004; G06T7/246; G06V20/64; G06V40/28
9656162,2017,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/213; A63F13/215; A63F13/428; A63F13/5375; A63F13/56; A63F13/812; A63F13/833; A63F2300/1043; A63F2300/1081; A63F2300/1087; A63F2300/5553; A63F2300/6045; A63F2300/6607; G06V40/103; G06V40/23; H04N7/183
9569005,2017,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F3/005; G06F3/017; G06F3/0304; G06F3/04815; G06F3/04883
9539500,2017,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/40; G06F21/32; G06V40/16
9607213,2017,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F3/011; G06F3/017; G06T15/005; G06T2207/10028; G06V20/64; G06V40/10; G06V40/103; G06V40/20
9646340,2017,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F3/011; G06F3/017; G06Q30/02; G06Q30/0641; G06Q30/0643; G06T15/00; G06T17/20; G06T19/20
9697430,2017,Conti Temic microelectronic GmbH,G06V10/255; G06V10/30; G06V20/582; G06V20/63
9824260,2017,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06T19/00; G06T2207/10028; G06T5/77; G06V20/64
9641825,2017,MICROSOFT INTERNATIONAL HOLDINGS B.V.,G01S17/89; G01S17/894; H04N13/20; H04N13/207; H04N23/56; H04N23/73; H04N23/74
9823339,2017,"MICROSOFT TECHNOLOGY LICENSING, LLC",G01S17/894; G01S7/4816; G01S7/486; G01S7/4863
9824480,2017,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06T13/00; G06T13/80; G06V40/23
9720089,2017,"MICROSOFT TECHNOLOGY LICENSING, LLC",G01S17/10; G01S17/87; G01S17/894; H04N13/239
9652042,2017,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F13/105; G06F3/017; G06F3/023; G06F3/038; G06V40/28
9674563,2017,"Rovi Guides, Inc.",H04N21/251; H04N21/25891; H04N21/42221; H04N21/4223; H04N21/44218; H04N21/4532; H04N21/4821; H04N21/4826
9628844,2017,"MICROSOFT TECHNOLOGY LICENSING, LLC",H04N21/42201; H04N21/42203; H04N21/4223; H04N21/44213; H04N21/44218; H04N21/4667
9821224,2017,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/212; A63F13/213; A63F13/428; A63F13/57; A63F13/803; A63F2300/1087; A63F2300/1093; A63F2300/5553; A63F2300/6045; A63F2300/6607; A63F2300/8017; G06F3/017; G09B9/04
9551914,2017,"MICROSOFT TECHNOLOGY LICENSING, LLC",G03B15/05; G03B2215/0592
9594430,2017,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F3/017
9582717,2017,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F3/017; G06T15/00; G06T2200/04; G06T2207/10016; G06T2207/10028; G06T2207/30196; G06T7/251; G06T7/579; G06V40/10; H04N13/20
9836590,2017,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F21/32; G06F2221/2111; G06V20/52; G10L25/27
9619561,2017,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F16/7837; G06V20/20
9821226,2017,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/213; A63F13/215; A63F13/428; A63F13/52; A63F13/833; A63F2300/1075; A63F2300/5553; A63F2300/6045; A63F2300/6607; G06F3/017; G06T2207/10028; G06T2207/30196; G06T7/194; G06T7/251; G06T7/75; G06V10/34; G06V10/426; G06V20/40; G06V40/10; G06V40/23
9557574,2017,"MICROSOFT TECHNOLOGY LICENSING, LLC",G01C3/08; G02B27/286; G02B27/48; G06F3/0304
9953426,2018,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/213; A63F13/53; A63F2300/1093; A63F2300/6018; G06T15/08; G06T19/20; G06T2200/08; G06T2207/10004; G06T2207/10028; G06T2219/2012; G06T7/12; G06T7/50; G06T7/70; H04N13/257; H04N13/268; H04N13/271; H04N5/2226
10113868,2018,"MICROSOFT TECHNOLOGY LICENSING, LLC",G01C3/08; G01S17/36; G01S17/894; G01S7/4815; G01S7/4911
9953213,2018,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F2203/0382; G06F3/005; G06F3/017; G06F3/0325; G06V40/20; H04N13/204
9857470,2018,"MICROSOFT TECHNOLOGY LICENSING, LLC",G01S17/894; G06T15/00; G06T17/00; G06T19/006; G06T2207/10016; G06T2207/10024; G06T2207/10028; G06T2207/30244; G06T7/246; G06T7/586; H04N13/20
9910509,2018,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/213; A63F13/428; G06F3/011; G06F3/016; G06F3/017; G06T11/60; G06T3/20; G06T3/40
10085072,2018,"Rovi Guides, Inc.",G11B27/105; H04N21/42201; H04N21/44218; H04N21/4438; H04N21/4532; H04N21/47; H04N21/4755; H04N21/478; H04N21/4826; H04N21/812
10089454,2018,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F21/32; G06F2221/2111; G06V20/52; G10L25/27
9959459,2018,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/211; A63F13/213; A63F13/428; A63F2300/105; A63F2300/1087; A63F2300/1093; A63F2300/6045; G06T2207/10016; G06T2207/10021; G06T2207/10024; G06T2207/10028; G06T2207/30196; G06T2207/30221; G06T2207/30241; G06T7/11; G06T7/20; G06T7/246; G06T7/60; G06T7/73; G06T7/75; G06V10/44; G06V40/103; G06V40/23
9971491,2018,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F2203/0381; G06F2203/04806; G06F3/013; G06F3/017; G06F3/0304; G06F3/04842; G06F3/0485; G06V40/28
9943755,2018,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/213; A63F13/215; A63F13/428; A63F13/5375; A63F13/56; A63F13/812; A63F13/833; A63F2300/1043; A63F2300/1081; A63F2300/1087; A63F2300/5553; A63F2300/6045; A63F2300/6607; G06V40/103; G06V40/23; H04N7/183
9940553,2018,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F18/214; G06F18/231; G06F18/24323; G06V10/7625; G06V10/764; G06V10/774; G06V20/20
10013507,2018,HERE GLOBAL B.V.,G06F30/13; G06F30/20; G06F30/23; G06F30/27; G06V20/64
